,year,CG_max,CG_min,CG_mean,CG_median,CG_var,IP_outs_max,IP_outs_min,IP_outs_mean,IP_outs_median,IP_outs_var,batters_faced_max,batters_faced_min,batters_faced_mean,batters_faced_median,Opp_BA_max,Opp_BA_min,Opp_BA_mean,Opp_BA_median,BB_max,BB_min,BB_mean,BB_median,BB_var,SO_max,SO_min,SO_mean,SO_median,SO_var,ERA_max,ERA_min,ERA_mean,ERA_median
75,1946,36,0,3.590443686006826,1.0,33.60566178876993,1114,0,226.75767918088738,135.0,52637.45820281453,1512.0,2.0,324.08191126279866,199.0,1.0,0.0,0.28477815699658704,0.26,153,0.0,29.976109215017065,21.0,827.9823039880313,348,0,32.95904436860068,19.0,1731.5120155219972,27.0,0.0,,3.53
76,1947,24,0,3.844,1.0,31.561911646586346,897,1,264.52,207.5,56156.77269076305,1218.0,3.0,379.7,310.5,0.75,0.0,0.28044,0.265,141,0.0,36.836,30.5,972.5312289156626,196,0,36.532,24.0,1447.6395341365462,81.0,0.0,5.82132,4.220000000000001
77,1948,28,0,3.588,1.0,28.082586345381525,944,1,263.184,216.5,57344.54432128514,1313.0,3.0,381.812,316.0,0.75,0.0,0.27232,0.26,135,0.0,38.5,33.0,1128.6606425702812,164,0,36.084,24.5,1382.7037590361447,45.0,0.0,5.46924,4.5
78,1949,27,0,4.331858407079646,1.0,37.31604719764012,907,0,292.5486725663717,231.5,63755.973176007865,1258.0,3.0,424.08849557522126,342.5,1.0,0.0,0.2773008849557522,0.27,179,0.0,44.336283185840706,39.0,1360.339744346116,153,0,39.584070796460175,25.5,1462.1284562438545,54.0,0.0,,4.355
79,1950,27,0,4.008032128514056,1.0,35.99993522477005,935,3,264.7309236947791,170.0,64962.245854385284,1325.0,3.0,387.00401606425703,258.0,0.63,0.0,0.2785542168674699,0.27,160,0.0,39.97991967871486,30.0,1261.7536274128772,191,0,38.4136546184739,21.0,1741.7354579608757,33.75,0.0,5.598714859437751,4.61
80,1951,26,0,3.7975708502024292,1.0,31.267798953293177,945,3,269.7368421052632,208.0,58009.24347454001,1289.0,4.0,388.6842105263158,315.0,0.57,0.08,0.2782995951417004,0.26,124,0.0,37.48178137651822,31.0,906.7303577894079,164,0,37.81781376518219,27.0,1434.3203317863138,32.4,0.0,5.550202429149798,4.38
81,1952,30,0,3.65,1.0,32.23610038610039,990,0,256.2230769230769,187.0,57984.14309474309,1310.0,1.0,364.65,270.5,0.66,0.0,0.27,0.26,132,0.0,33.79615384615385,26.0,861.4524948024948,183,0,39.97692307692308,24.5,1741.2504306504306,54.0,0.0,,4.63
82,1953,33,0,3.5850622406639006,1.0,28.235442600276624,1040,0,274.2572614107884,243.0,52243.25020746888,1412.0,1.0,395.9336099585062,362.0,1.0,0.0,0.27796680497925313,0.27,116,0.0,36.053941908713696,32.0,792.701244813278,198,0,42.398340248962654,36.0,1614.240663900415,162.0,0.0,,3.95
83,1954,29,0,3.4854771784232366,1.0,28.359163208852006,1010,2,275.4356846473029,221.0,56118.40522130014,1331.0,6.0,396.4356846473029,332.0,0.66,0.0,0.269253112033195,0.26,181,0.0,37.481327800829874,30.0,922.9506915629322,185,0,42.385892116182575,31.0,1673.879633471646,54.0,0.0,5.008298755186722,4.15
84,1955,26,0,2.6714285714285713,0.0,19.94900153609831,915,0,235.83214285714286,174.0,48600.50577316948,1256.0,1.0,339.35714285714283,259.5,1.0,0.0,0.2775357142857143,0.26,185,0.0,32.31428571428572,25.0,915.1625192012289,245,0,38.660714285714285,25.5,1721.4722862263184,54.0,0.0,,
